Title, Link, Date, CommentsNb, LikesNb 
公車輾斃16歲女高中生 司機:煞車失靈 車上載4.50名學生 為保護學生才不撞山壁, http://www.dcard.tw/f/fc7574ad-e1df-43d2-bb06-8825c718c065/p/235881248, 2021-05-01, 211, 2777 
田同學正取？, http://www.dcard.tw/f/fc7574ad-e1df-43d2-bb06-8825c718c065/p/235882964, 2021-04-30, 269, 2534 
海底撈被招待, http://www.dcard.tw/f/75a726e6-d4e3-4902-a410-2430a39fffcb/p/235882175, 2021-04-30, 136, 1791 
前男友默默關注我愛居, http://www.dcard.tw/f/75a726e6-d4e3-4902-a410-2430a39fffcb/p/235885464, 2021-05-01, 102, 1768 
笑死人 龜蜜真的歸Me嗎( ･᷄ὢ･᷅ ), http://www.dcard.tw/f/a1aaa6e6-2594-4968-b7dc-e1b14bea96f4/p/235885700, 2021-04-30, 50, 1630 
f(x) amber去中國後, http://www.dcard.tw/f/14f573f5-3f02-4821-8e18-f561d7b7db91/p/235883392, 2021-05-01, 66, 1612 
關於陳零九不專業態度, http://www.dcard.tw/f/ba0145a2-adff-4229-9a84-9b26ebd2f7f0/p/235887137, 2021-05-01, 390, 1375 
樂天女孩的林襄也太香了吧, http://www.dcard.tw/f/255fd275-fec2-49d2-8e46-2e1557ffaeb0/p/235881574, 2021-05-01, 189, 1368 
男友不想跟我做（微西斯, http://www.dcard.tw/f/42851318-b9e2-4a75-8a05-9fe180becefe/p/235883354, 2021-05-01, 264, 1247 
BOYFRIEND以新團名重新出發！！, http://www.dcard.tw/f/14f573f5-3f02-4821-8e18-f561d7b7db91/p/235882773, 2021-05-01, 92, 1234 
男友是住院醫師, http://www.dcard.tw/f/42851318-b9e2-4a75-8a05-9fe180becefe/p/235880836, 2021-04-30, 213, 1202 
化妝順序？一篇給新手的觀念篇, http://www.dcard.tw/f/cbd5285f-3cba-4bfc-86d0-1ab52d201459/p/235882893, 2021-05-01, 38, 1145 
85度c的品管越來越糟了⋯⋯, http://www.dcard.tw/f/75a726e6-d4e3-4902-a410-2430a39fffcb/p/235884039, 2021-04-30, 105, 1140 
有人知道他們分手了嗎, http://www.dcard.tw/f/42851318-b9e2-4a75-8a05-9fe180becefe/p/235883959, 2021-04-30, 79, 1106 
真的不爽男友只想發我摯友, http://www.dcard.tw/f/42851318-b9e2-4a75-8a05-9fe180becefe/p/235882456, 2021-04-30, 154, 1077 
喝珍奶喝到蟲..., http://www.dcard.tw/f/de977130-f3eb-467b-822e-b0e91124e9eb/p/235886678, 2021-05-01, 182, 1011 
令人難過的漫畫😭, http://www.dcard.tw/f/7ee21581-1307-4ba9-b9dc-82028bdcca49/p/235881080, 2021-04-30, 35, 1009 
淺色頭髮+黑色系穿搭分享🌚, http://www.dcard.tw/f/be1a095b-175e-4523-9e06-66a05d939676/p/235883394, 2021-04-30, 64, 984 
職場遇到的新鮮人, http://www.dcard.tw/f/6eeeafb2-9dac-4d81-ae4b-ffecf0ad4444/p/235881622, 2021-05-01, 128, 964 
媽媽一直要我去台積電, http://www.dcard.tw/f/6eeeafb2-9dac-4d81-ae4b-ffecf0ad4444/p/235884417, 2021-04-30, 332, 962 
#台南人幫忙⚠️狐狸被偷走失了！, http://www.dcard.tw/f/7ee21581-1307-4ba9-b9dc-82028bdcca49/p/235886517, 2021-05-01, 37, 930 
女友穿前男友的內褲, http://www.dcard.tw/f/75a726e6-d4e3-4902-a410-2430a39fffcb/p/235886198, 2021-04-30, 111, 907 
錢姊V.S.博恩, http://www.dcard.tw/f/ba0145a2-adff-4229-9a84-9b26ebd2f7f0/p/235880949, 2021-04-30, 24, 804 
IG是什麼, http://www.dcard.tw/f/a1aaa6e6-2594-4968-b7dc-e1b14bea96f4/p/235883646, 2021-04-30, 32, 788 
